Date,Symbols,Close
1/2/2018 16:00,FCX,19.77
1/3/2018 16:00,FCX,19.47
1/4/2018 16:00,FCX,19.74
1/5/2018 16:00,FCX,19.9
1/8/2018 16:00,FCX,19.81
1/9/2018 16:00,FCX,18.92
1/10/2018 16:00,FCX,19.51
1/11/2018 16:00,FCX,19.88
1/12/2018 16:00,FCX,19.75
1/16/2018 16:00,FCX,19.32
1/17/2018 16:00,FCX,19.77
1/18/2018 16:00,FCX,19.4
1/19/2018 16:00,FCX,19.96
1/22/2018 16:00,FCX,19.99
1/23/2018 16:00,FCX,19.55
1/24/2018 16:00,FCX,19.6
1/25/2018 16:00,FCX,19.82
1/26/2018 16:00,FCX,19.54
1/29/2018 16:00,FCX,19.63
1/30/2018 16:00,FCX,19.13
1/31/2018 16:00,FCX,19.5
2/1/2018 16:00,FCX,19.45
2/2/2018 16:00,FCX,17.97
2/5/2018 16:00,FCX,17.65
2/6/2018 16:00,FCX,18.74
2/7/2018 16:00,FCX,17.86
2/8/2018 16:00,FCX,17.16
2/9/2018 16:00,FCX,17.57
2/12/2018 16:00,FCX,17.57
2/13/2018 16:00,FCX,17.8
2/14/2018 16:00,FCX,19.12
2/15/2018 16:00,FCX,19.12
2/16/2018 16:00,FCX,18.73
2/20/2018 16:00,FCX,18.43
2/21/2018 16:00,FCX,18.73
2/22/2018 16:00,FCX,19.16
2/23/2018 16:00,FCX,19.55
2/26/2018 16:00,FCX,19.53
2/27/2018 16:00,FCX,19.09
2/28/2018 16:00,FCX,18.6
3/1/2018 16:00,FCX,18.54
3/2/2018 16:00,FCX,18.32
3/5/2018 16:00,FCX,18.19
3/6/2018 16:00,FCX,18.7
3/7/2018 16:00,FCX,18.12
3/8/2018 16:00,FCX,17.87
3/9/2018 16:00,FCX,18.43
3/12/2018 16:00,FCX,18.56
3/13/2018 16:00,FCX,18.48
3/14/2018 16:00,FCX,18.66
3/15/2018 16:00,FCX,18.41
3/16/2018 16:00,FCX,18.36
3/19/2018 16:00,FCX,18.05
3/20/2018 16:00,FCX,18.49
3/21/2018 16:00,FCX,19.18
3/22/2018 16:00,FCX,18.05
3/23/2018 16:00,FCX,17.52
3/26/2018 16:00,FCX,17.75
3/27/2018 16:00,FCX,17.24
3/28/2018 16:00,FCX,16.75
3/29/2018 16:00,FCX,17.57
4/2/2018 16:00,FCX,17.14
4/3/2018 16:00,FCX,17.38
4/4/2018 16:00,FCX,17.34
4/5/2018 16:00,FCX,18.11
4/6/2018 16:00,FCX,17.33
4/9/2018 16:00,FCX,17.43
4/10/2018 16:00,FCX,18.2
4/11/2018 16:00,FCX,17.98
4/12/2018 16:00,FCX,17.86
4/13/2018 16:00,FCX,17.87
4/16/2018 16:00,FCX,18.16
4/17/2018 16:00,FCX,18.3
4/18/2018 16:00,FCX,19.18
4/19/2018 16:00,FCX,19.57
4/20/2018 16:00,FCX,19.36
4/23/2018 16:00,FCX,18.81
4/24/2018 16:00,FCX,16.08
4/25/2018 16:00,FCX,15.37
4/26/2018 16:00,FCX,15.63
4/27/2018 16:00,FCX,15.32
4/30/2018 16:00,FCX,15.21
5/1/2018 16:00,FCX,14.95
5/2/2018 16:00,FCX,15.11
5/3/2018 16:00,FCX,15.21
5/4/2018 16:00,FCX,15.42
5/7/2018 16:00,FCX,15.26
5/8/2018 16:00,FCX,15.3
5/9/2018 16:00,FCX,15.68
5/10/2018 16:00,FCX,16.22
5/11/2018 16:00,FCX,16.27
5/14/2018 16:00,FCX,16.2
5/15/2018 16:00,FCX,15.96
5/16/2018 16:00,FCX,16.64
5/17/2018 16:00,FCX,16.78
5/18/2018 16:00,FCX,16.87
5/21/2018 16:00,FCX,16.69
5/22/2018 16:00,FCX,17.17
5/23/2018 16:00,FCX,17.35
5/24/2018 16:00,FCX,17.38
5/25/2018 16:00,FCX,17.08
5/29/2018 16:00,FCX,16.65
5/30/2018 16:00,FCX,17.12
5/31/2018 16:00,FCX,16.9
6/1/2018 16:00,FCX,17.12
6/4/2018 16:00,FCX,17.21
6/5/2018 16:00,FCX,17.65
6/6/2018 16:00,FCX,18.2
6/7/2018 16:00,FCX,17.93
6/8/2018 16:00,FCX,18.03
6/11/2018 16:00,FCX,18.19
6/12/2018 16:00,FCX,17.86
6/13/2018 16:00,FCX,17.81
6/14/2018 16:00,FCX,17.58
6/15/2018 16:00,FCX,16.89
6/18/2018 16:00,FCX,16.8
6/19/2018 16:00,FCX,16.26
6/20/2018 16:00,FCX,16.3
6/21/2018 16:00,FCX,16.36
6/22/2018 16:00,FCX,16.44
6/25/2018 16:00,FCX,15.74
6/26/2018 16:00,FCX,16.25
6/27/2018 16:00,FCX,16.9
6/28/2018 16:00,FCX,16.79
6/29/2018 16:00,FCX,17.26
7/2/2018 16:00,FCX,17.16
7/3/2018 13:00,FCX,17.07
7/5/2018 16:00,FCX,16.97
7/6/2018 16:00,FCX,17.51
7/9/2018 16:00,FCX,18.11
7/10/2018 16:00,FCX,18.11
7/11/2018 16:00,FCX,17.41
7/12/2018 16:00,FCX,17.29
7/13/2018 16:00,FCX,16.8
7/16/2018 16:00,FCX,16.77
7/17/2018 16:00,FCX,16.77
7/18/2018 16:00,FCX,17.08
7/19/2018 16:00,FCX,15.8
7/20/2018 16:00,FCX,15.75
7/23/2018 16:00,FCX,15.83
7/24/2018 16:00,FCX,16.07
7/25/2018 16:00,FCX,15.86
7/26/2018 16:00,FCX,15.97
7/27/2018 16:00,FCX,15.99
7/30/2018 16:00,FCX,16.08
7/31/2018 16:00,FCX,16.5
8/1/2018 16:00,FCX,15.58
8/2/2018 16:00,FCX,15.43
8/3/2018 16:00,FCX,15.71
8/6/2018 16:00,FCX,15.4
8/7/2018 16:00,FCX,15.36
8/8/2018 16:00,FCX,15.39
8/9/2018 16:00,FCX,15.31
8/10/2018 16:00,FCX,15.11
8/13/2018 16:00,FCX,14.92
8/14/2018 16:00,FCX,14.8
8/15/2018 16:00,FCX,13.66
8/16/2018 16:00,FCX,13.77
8/17/2018 16:00,FCX,13.97
8/20/2018 16:00,FCX,14.12
8/21/2018 16:00,FCX,14.32
8/22/2018 16:00,FCX,14.53
8/23/2018 16:00,FCX,14.18
8/24/2018 16:00,FCX,14.47
8/27/2018 16:00,FCX,14.73
8/28/2018 16:00,FCX,14.66
8/29/2018 16:00,FCX,14.67
8/30/2018 16:00,FCX,14.15
8/31/2018 16:00,FCX,14.05
9/4/2018 16:00,FCX,13.48
9/5/2018 16:00,FCX,13.67
9/6/2018 16:00,FCX,13.57
9/7/2018 16:00,FCX,13.18
9/10/2018 16:00,FCX,13.2
9/11/2018 16:00,FCX,13.04
9/12/2018 16:00,FCX,13.63
9/13/2018 16:00,FCX,13.58
9/14/2018 16:00,FCX,13.69
9/17/2018 16:00,FCX,13.72
9/18/2018 16:00,FCX,14.01
9/19/2018 16:00,FCX,14.3
9/20/2018 16:00,FCX,14.39
9/21/2018 16:00,FCX,14.61
9/24/2018 16:00,FCX,14.24
9/25/2018 16:00,FCX,14.49
9/26/2018 16:00,FCX,14
9/27/2018 16:00,FCX,13.87
9/28/2018 16:00,FCX,13.92
10/1/2018 16:00,FCX,13.7
10/2/2018 16:00,FCX,13.89
10/3/2018 16:00,FCX,13.95
10/4/2018 16:00,FCX,13.63
10/5/2018 16:00,FCX,13.27
10/8/2018 16:00,FCX,13.29
10/9/2018 16:00,FCX,13.18
10/10/2018 16:00,FCX,12.77
10/11/2018 16:00,FCX,13.23
10/12/2018 16:00,FCX,12.74
10/15/2018 16:00,FCX,12.83
10/16/2018 16:00,FCX,12.68
10/17/2018 16:00,FCX,12.4
10/18/2018 16:00,FCX,12.14
10/19/2018 16:00,FCX,12.02
10/22/2018 16:00,FCX,12
10/23/2018 16:00,FCX,11.61
10/24/2018 16:00,FCX,10.7
10/25/2018 16:00,FCX,11.25
10/26/2018 16:00,FCX,11.5
10/29/2018 16:00,FCX,11.09
10/30/2018 16:00,FCX,11.41
10/31/2018 16:00,FCX,11.65
