Date,Symbols,Close
10/1/2019 16:00,INTC,50.76
10/2/2019 16:00,INTC,49.39
10/3/2019 16:00,INTC,50.03
10/4/2019 16:00,INTC,50.92
10/7/2019 16:00,INTC,50.62
10/8/2019 16:00,INTC,49.73
10/9/2019 16:00,INTC,50.48
10/10/2019 16:00,INTC,51.11
10/11/2019 16:00,INTC,52.09
10/14/2019 16:00,INTC,51.64
10/15/2019 16:00,INTC,52.65
10/16/2019 16:00,INTC,52.45
10/17/2019 16:00,INTC,51.86
10/18/2019 16:00,INTC,51.36
10/21/2019 16:00,INTC,52.13
10/22/2019 16:00,INTC,52.01
10/23/2019 16:00,INTC,51.72
10/24/2019 16:00,INTC,52.23
10/25/2019 16:00,INTC,56.46
10/28/2019 16:00,INTC,56.76
10/29/2019 16:00,INTC,56.34
10/30/2019 16:00,INTC,56.6
10/31/2019 16:00,INTC,56.53
11/1/2019 16:00,INTC,56.51
11/4/2019 16:00,INTC,57.61
11/5/2019 16:00,INTC,57.55
11/6/2019 16:00,INTC,57.6
11/7/2019 16:00,INTC,57.6
11/8/2019 16:00,INTC,58.27
11/11/2019 16:00,INTC,58.35
11/12/2019 16:00,INTC,58.2
11/13/2019 16:00,INTC,57.89
11/14/2019 16:00,INTC,57.81
11/15/2019 16:00,INTC,57.96
11/18/2019 16:00,INTC,58.25
11/19/2019 16:00,INTC,58.35
11/20/2019 16:00,INTC,57.9
11/21/2019 16:00,INTC,58.22
11/22/2019 16:00,INTC,57.61
11/25/2019 16:00,INTC,58.81
11/26/2019 16:00,INTC,58.9
11/27/2019 16:00,INTC,58.51
11/29/2019 13:00,INTC,58.05
12/2/2019 16:00,INTC,57.66
12/3/2019 16:00,INTC,56.07
12/4/2019 16:00,INTC,56.02
12/5/2019 16:00,INTC,56.08
12/6/2019 16:00,INTC,56.81
12/9/2019 16:00,INTC,56.53
12/10/2019 16:00,INTC,56.59
12/11/2019 16:00,INTC,57.07
12/12/2019 16:00,INTC,57.55
12/13/2019 16:00,INTC,57.79
12/16/2019 16:00,INTC,57.7
12/17/2019 16:00,INTC,57.3
12/18/2019 16:00,INTC,57.17
12/19/2019 16:00,INTC,57.96
12/20/2019 16:00,INTC,58.95
12/23/2019 16:00,INTC,59.23
12/24/2019 13:00,INTC,59.41
12/26/2019 16:00,INTC,59.82
12/27/2019 16:00,INTC,60.08
12/30/2019 16:00,INTC,59.62
12/31/2019 16:00,INTC,59.85
1/2/2020 16:00,INTC,60.84
1/3/2020 16:00,INTC,60.1
1/6/2020 16:00,INTC,59.93
1/7/2020 16:00,INTC,58.93
1/8/2020 16:00,INTC,58.97
1/9/2020 16:00,INTC,59.3
1/10/2020 16:00,INTC,58.94
1/13/2020 16:00,INTC,59.59
1/14/2020 16:00,INTC,59.43
1/15/2020 16:00,INTC,58.94
1/16/2020 16:00,INTC,59.66
1/17/2020 16:00,INTC,59.6
1/21/2020 16:00,INTC,60.55
1/22/2020 16:00,INTC,62.73
1/23/2020 16:00,INTC,63.32
1/24/2020 16:00,INTC,68.47
1/27/2020 16:00,INTC,65.69
1/28/2020 16:00,INTC,67.31
1/29/2020 16:00,INTC,66.33
1/30/2020 16:00,INTC,66.47
1/31/2020 16:00,INTC,63.93
2/3/2020 16:00,INTC,64.42
2/4/2020 16:00,INTC,65.46
2/5/2020 16:00,INTC,67.34
2/6/2020 16:00,INTC,67.09
2/7/2020 16:00,INTC,66.02
2/10/2020 16:00,INTC,66.39
2/11/2020 16:00,INTC,67.41
2/12/2020 16:00,INTC,67.46
2/13/2020 16:00,INTC,67.44
2/14/2020 16:00,INTC,67.27
2/18/2020 16:00,INTC,66.14
2/19/2020 16:00,INTC,67.11
2/20/2020 16:00,INTC,65.45
2/21/2020 16:00,INTC,64.34
2/24/2020 16:00,INTC,61.76
2/25/2020 16:00,INTC,59.73
2/26/2020 16:00,INTC,59.65
2/27/2020 16:00,INTC,55.83
2/28/2020 16:00,INTC,55.52
3/2/2020 16:00,INTC,58.18
3/3/2020 16:00,INTC,55.97
3/4/2020 16:00,INTC,58.68
3/5/2020 16:00,INTC,56.96
3/6/2020 16:00,INTC,55.77
3/9/2020 16:00,INTC,50.85
3/10/2020 16:00,INTC,53.98
3/11/2020 16:00,INTC,51.66
3/12/2020 16:00,INTC,45.54
3/13/2020 16:00,INTC,54.43
3/16/2020 16:00,INTC,44.61
3/17/2020 16:00,INTC,50.08
3/18/2020 16:00,INTC,47.61
3/19/2020 16:00,INTC,45.94
3/20/2020 16:00,INTC,45.83
3/23/2020 16:00,INTC,49.58
3/24/2020 16:00,INTC,52.4
3/25/2020 16:00,INTC,51.26
3/26/2020 16:00,INTC,55.54
3/27/2020 16:00,INTC,52.37
3/30/2020 16:00,INTC,55.49
3/31/2020 16:00,INTC,54.12
4/1/2020 16:00,INTC,51.88
4/2/2020 16:00,INTC,54.35
4/3/2020 16:00,INTC,54.13
4/6/2020 16:00,INTC,58.43
4/7/2020 16:00,INTC,58.4
4/8/2020 16:00,INTC,58.98
4/9/2020 16:00,INTC,57.14
4/13/2020 16:00,INTC,58.7
4/14/2020 16:00,INTC,60.66
4/15/2020 16:00,INTC,58.87
4/16/2020 16:00,INTC,60.79
4/17/2020 16:00,INTC,60.36
4/20/2020 16:00,INTC,59.18
4/21/2020 16:00,INTC,56.36
4/22/2020 16:00,INTC,60.1
4/23/2020 16:00,INTC,59.04
4/24/2020 16:00,INTC,59.26
4/27/2020 16:00,INTC,59.47
4/28/2020 16:00,INTC,58.75
4/29/2020 16:00,INTC,61.8
4/30/2020 16:00,INTC,59.98
5/1/2020 16:00,INTC,57.47
5/4/2020 16:00,INTC,57.99
5/5/2020 16:00,INTC,58.75
5/6/2020 16:00,INTC,59.18
5/7/2020 16:00,INTC,59.17
5/8/2020 16:00,INTC,59.67
5/11/2020 16:00,INTC,60.13
5/12/2020 16:00,INTC,58.39
5/13/2020 16:00,INTC,57.74
5/14/2020 16:00,INTC,59.08
5/15/2020 16:00,INTC,58.28
5/18/2020 16:00,INTC,59.92
5/19/2020 16:00,INTC,60.29
5/20/2020 16:00,INTC,63.1
5/21/2020 16:00,INTC,61.98
5/22/2020 16:00,INTC,62.26
5/26/2020 16:00,INTC,62.34
5/27/2020 16:00,INTC,63.56
5/28/2020 16:00,INTC,61.7
5/29/2020 16:00,INTC,62.93
6/1/2020 16:00,INTC,61.86
6/2/2020 16:00,INTC,62.12
6/3/2020 16:00,INTC,61.93
6/4/2020 16:00,INTC,62.97
6/5/2020 16:00,INTC,64.34
6/8/2020 16:00,INTC,63.67
6/9/2020 16:00,INTC,63.04
6/10/2020 16:00,INTC,63.87
6/11/2020 16:00,INTC,59.7
6/12/2020 16:00,INTC,59.33
6/15/2020 16:00,INTC,60.1
6/16/2020 16:00,INTC,60.4
6/17/2020 16:00,INTC,60.49
6/18/2020 16:00,INTC,60.08
6/19/2020 16:00,INTC,59.62
6/22/2020 16:00,INTC,60.09
6/23/2020 16:00,INTC,59.92
6/24/2020 16:00,INTC,59.09
6/25/2020 16:00,INTC,58.51
6/26/2020 16:00,INTC,57.5
6/29/2020 16:00,INTC,58.27
6/30/2020 16:00,INTC,59.83
7/1/2020 16:00,INTC,58.81
7/2/2020 16:00,INTC,59.13
7/6/2020 16:00,INTC,59.54
7/7/2020 16:00,INTC,58.31
7/8/2020 16:00,INTC,58.61
7/9/2020 16:00,INTC,58.42
7/10/2020 16:00,INTC,59.53
7/13/2020 16:00,INTC,58.58
7/14/2020 16:00,INTC,58.98
7/15/2020 16:00,INTC,59.03
7/16/2020 16:00,INTC,59.14
7/17/2020 16:00,INTC,60
7/20/2020 16:00,INTC,61.15
7/21/2020 16:00,INTC,60.7
7/22/2020 16:00,INTC,61.05
7/23/2020 16:00,INTC,60.4
7/24/2020 16:00,INTC,50.59
7/27/2020 16:00,INTC,49.57
7/28/2020 16:00,INTC,49.24
7/29/2020 16:00,INTC,48.07
7/30/2020 16:00,INTC,47.99
7/31/2020 16:00,INTC,47.73
8/3/2020 16:00,INTC,48.3
8/4/2020 16:00,INTC,49.13
8/5/2020 16:00,INTC,48.92
8/6/2020 16:00,INTC,48.57
8/7/2020 16:00,INTC,48.03
8/10/2020 16:00,INTC,49.22
8/11/2020 16:00,INTC,48.19
8/12/2020 16:00,INTC,49.19
8/13/2020 16:00,INTC,48.56
8/14/2020 16:00,INTC,48.89
8/17/2020 16:00,INTC,48.93
8/18/2020 16:00,INTC,48.65
8/19/2020 16:00,INTC,48.33
8/20/2020 16:00,INTC,49.17
8/21/2020 16:00,INTC,49.28
8/24/2020 16:00,INTC,49.14
8/25/2020 16:00,INTC,49.43
8/26/2020 16:00,INTC,49.55
8/27/2020 16:00,INTC,49.4
8/28/2020 16:00,INTC,50.43
8/31/2020 16:00,INTC,50.95
9/1/2020 16:00,INTC,50.79
9/2/2020 16:00,INTC,52.25
9/3/2020 16:00,INTC,50.39
9/4/2020 16:00,INTC,50.08
9/8/2020 16:00,INTC,48.91
9/9/2020 16:00,INTC,49.62
9/10/2020 16:00,INTC,48.96
9/11/2020 16:00,INTC,49.28
9/14/2020 16:00,INTC,49.41
9/15/2020 16:00,INTC,50
9/16/2020 16:00,INTC,50.37
9/17/2020 16:00,INTC,50.32
9/18/2020 16:00,INTC,49.89
9/21/2020 16:00,INTC,49.72
9/22/2020 16:00,INTC,49.95
9/23/2020 16:00,INTC,48.82
9/24/2020 16:00,INTC,49.16
9/25/2020 16:00,INTC,49.94
9/28/2020 16:00,INTC,51.43
9/29/2020 16:00,INTC,51.19
9/30/2020 16:00,INTC,51.78
